Variable,Baseline,+Covid,+Scar,+Quarterly,+Q+C,+Q+S
const,2.2942,2.9864,49.8166***,2.5612*,2.8221*,37.7501***
,(1.5716),(1.7920),(5.2152),(1.3806),(1.4232),(4.9545)
trend,0.0008,0.0020,0.0424***,0.0013,0.0020*,0.0321***
,(0.0011),(0.0014),(0.0045),(0.0010),(0.0011),(0.0042)
g.L1,0.5393***,0.5947***,-0.7533***,0.6644***,0.6247***,-0.6215***
,(0.1316),(0.1331),(0.1196),(0.1254),(0.1061),(0.1025)
g.L2,-0.0804,-0.4507***,-0.9372***,0.1776,0.0812,-0.4841***
,(0.1638),(0.1561),(0.0865),(0.1660),(0.1338),(0.1249)
g.L3,0.0036,0.2549,-0.7755***,-0.2861*,-0.1873,-0.5542***
,(0.1682),(0.1627),(0.1224),(0.1691),(0.1371),(0.1103)
g.L4,0.3857***,0.3967***,0.0147,0.2708**,0.2861***,0.0454
,(0.1352),(0.1234),(0.0766),(0.1275),(0.1020),(0.0631)
covid.L0,,-0.0003,,,-0.0031,
,,(0.0098),,,(0.0082),
covid.L1,,-0.0482***,,,-0.0401***,
,,(0.0129),,,(0.0108),
covid.L2,,0.0370***,,,0.0318***,
,,(0.0136),,,(0.0086),
covid.L3,,-0.0272*,,,,
,,(0.0147),,,,
covid.L4,,0.0262**,,,,
,,(0.0113),,,,
ntlg.L0,0.0855***,0.0350,0.0119*,0.0571**,0.0312*,0.0115**
,(0.0229),(0.0227),(0.0059),(0.0212),(0.0183),(0.0048)
ntlg.L1,0.0033,-0.0350,,-0.0275,-0.0372**,
,(0.0245),(0.0209),,(0.0207),(0.0176),
ntlg.L2,-0.0460**,,,,,
,(0.0224),,,,,
q1.L0,,,,,,-0.0108***
,,,,,,(0.0023)
q2.L0,,,,0.0299***,0.0273***,
,,,,(0.0077),(0.0062),
q3.L0,,,,0.0293***,0.0278***,0.0079***
,,,,(0.0078),(0.0062),(0.0025)
scar.L0,,,-0.0201***,,,-0.0204***
,,,(0.0043),,,(0.0035)
scar.L1,,,-0.0965***,,,-0.0937***
,,,(0.0064),,,(0.0053)
scar.L2,,,-0.0621***,,,-0.0400***
,,,(0.0127),,,(0.0114)
scar.L3,,,-0.0679***,,,-0.0308**
,,,(0.0090),,,(0.0115)
scar.L4,,,-0.0342***,,,-0.0276***
,,,(0.0110),,,(0.0094)
Observations,51,51,51,51,51,51
AIC,-275.94,-291.52,-408.79,-287.61,-309.81,-428.67
BIC,-256.62,-264.48,-383.68,-266.36,-282.76,-399.69
